event_ts,sample_index,time_ms,v1,v2,v3
2026-04-30T09:10:26.328Z,1030,643.75,10279.408702850342,-110844.70547485352,94937.28032684326
2026-04-30T09:10:26.328Z,1031,644.375,32845.73934555054,-118882.77207565308,81027.18885040283
2026-04-30T09:10:26.328Z,1032,645.0,55412.06998825073,-122474.24864196777,61074.18878173828
2026-04-30T09:10:26.328Z,1033,645.625,75129.11645889282,-117001.52244567871,36731.52869796753
2026-04-30T09:10:26.328Z,1034,646.25,89888.40847015381,-112383.90971755981,17405.622917175293
2026-04-30T09:10:26.328Z,1035,646.875,103735.9295463562,-102749.63130950928,-6651.99430847168
2026-04-30T09:10:26.328Z,1036,647.5,112910.6245803833,-88440.73260879517,-28828.32867050171
2026-04-30T09:10:26.328Z,1037,648.125,118438.23587417603,-72877.66748809814,-51460.731605529785
2026-04-30T09:10:26.328Z,1038,648.75,116215.7942199707,-47224.263442993164,-73466.04025268555
2026-04-30T09:10:26.328Z,1039,649.375,110631.19724273682,-26815.555335998535,-89428.44030761719
2026-04-30T09:10:26.328Z,1040,650.0,103394.01544570923,-3898.514389038086,-105276.82321929932
2026-04-30T09:10:26.328Z,1041,650.625,89489.50868606567,19645.60976791382,-114797.25468063354
2026-04-30T09:10:26.328Z,1042,651.25,74787.20235824585,41023.44647216797,-122721.44613647461
2026-04-30T09:10:26.328Z,1043,651.875,50967.18667984009,65479.69166183472,-122208.3689918518
2026-04-30T09:10:26.328Z,1044,652.5,30395.354957580566,81270.78704071045,-117134.60611724854
2026-04-30T09:10:26.328Z,1045,653.125,8227.924098968506,97460.93537139893,-111889.817527771
2026-04-30T09:10:26.328Z,1046,653.75,-14167.449493408203,108862.44828033447,-98777.84605407715
2026-04-30T09:10:26.328Z,1047,654.375,-36847.75150299072,116558.46949386597,-85551.85743713379
2026-04-30T09:10:26.328Z,1048,655.0,-59585.039196014404,120377.97631835938,-65484.84022521973
2026-04-30T09:10:26.328Z,1049,655.625,-79245.09998321533,114677.2198638916,-40743.12014007568
2026-04-30T09:10:26.328Z,1050,656.25,-93947.40631103516,110173.62226486206,-21474.222930908203
2026-04-30T09:10:26.328Z,1051,656.875,-107851.91307067871,100368.32116317749,2640.4028663635254
2026-04-30T09:10:26.328Z,1052,657.5,-116798.66537094116,86287.45272064209,24189.64294052124
2026-04-30T09:10:26.328Z,1053,658.125,-122269.29098129272,70211.31951904297,47677.174449920654
2026-04-30T09:10:26.328Z,1054,658.75,-120103.83501052856,44386.892780303955,69910.51738357544
2026-04-30T09:10:26.328Z,1055,659.375,-114633.209400177,25346.36622238159,84276.67743301392
2026-04-30T09:10:26.328Z,1056,660.0,-107339.04191970825,1403.1891136169434,101037.19749069214
2026-04-30T09:10:26.328Z,1057,660.625,-93320.56379318237,-21285.821575164795,109930.53466415405
2026-04-30T09:10:26.328Z,1058,661.25,-79131.12861633301,-43518.77174758911,118994.89755249023
2026-04-30T09:10:26.328Z,1059,661.875,-54171.399269104004,-67518.95642089844,117227.6318321228
2026-04-30T09:10:26.328Z,1060,662.5,-34853.25258255005,-83766.11231613159,112723.95467376709
2026-04-30T09:10:26.328Z,1061,663.125,-12343.907623291016,-99272.16987228394,107251.13179779053
2026-04-30T09:10:26.328Z,1062,663.75,10279.408702850342,-110787.69791030884,94823.26318359375
2026-04-30T09:10:26.328Z,1063,664.375,33073.682079315186,-118768.75694656372,81426.24885177612
2026-04-30T09:10:26.328Z,1064,665.0,55526.04135513306,-122189.21081924438,61131.19735336304
2026-04-30T09:10:26.328Z,1065,665.625,75471.0305595398,-116830.49975204468,36731.52869796753
2026-04-30T09:10:26.328Z,1066,666.25,90002.37983703613,-112383.90971755981,17462.63148880005
2026-04-30T09:10:26.328Z,1067,666.875,103906.88659667969,-102692.6237449646,-6709.002880096436
2026-04-30T09:10:26.328Z,1068,667.5,112853.63889694214,-88383.72504425049,-28885.337242126465
2026-04-30T09:10:26.328Z,1069,668.125,118324.2645072937,-72649.63722991943,-51403.72303390503
2026-04-30T09:10:26.328Z,1070,668.75,116101.82285308838,-47224.263442993164,-73580.05739593506
2026-04-30T09:10:26.328Z,1071,669.375,110973.11134338379,-26530.517513275146,-89200.40602111816
2026-04-30T09:10:26.328Z,1072,670.0,103394.01544570923,-3841.506824493408,-105219.81464767456
2026-04-30T09:10:26.328Z,1073,670.625,89660.46573638916,19816.63246154785,-114911.27182388306
2026-04-30T09:10:26.328Z,1074,671.25,74787.20235824585,41023.44647216797,-122607.4289932251
2026-04-30T09:10:26.328Z,1075,671.875,51309.10078048706,65821.73704910278,-121980.33470535278
2026-04-30T09:10:26.328Z,1076,672.5,30281.383590698242,81213.77947616577,-117020.58897399902
2026-04-30T09:10:26.328Z,1077,673.125,8455.866832733154,97631.95806503296,-111718.79181289673
2026-04-30T09:10:26.328Z,1078,673.75,-14281.420860290527,108748.43315124512,-99119.89748382568
2026-04-30T09:10:26.328Z,1079,674.375,-36847.75150299072,116558.46949386597,-85551.85743713379
2026-04-30T09:10:26.328Z,1080,675.0,-59585.039196014404,120606.00657653809,-65085.780223846436
2026-04-30T09:10:26.328Z,1081,675.625,-79188.11429977417,114791.23499298096,-40857.137283325195
2026-04-30T09:10:26.328Z,1082,676.25,-94175.3490447998,110173.62226486206,-21303.197216033936
2026-04-30T09:10:26.328Z,1083,676.875,-107737.94170379639,100368.32116317749,2754.420009613037
2026-04-30T09:10:26.328Z,1084,677.5,-116570.72263717651,86458.47541427612,24645.711513519287
2026-04-30T09:10:26.328Z,1085,678.125,-122269.29098129272,70268.32708358765,47563.15730667114
2026-04-30T09:10:26.328Z,1086,678.75,-119932.87796020508,44443.90034484863,69682.48309707642
2026-04-30T09:10:26.328Z,1087,679.375,-114690.19508361816,25289.358657836914,84333.68600463867
2026-04-30T09:10:26.328Z,1088,680.0,-107111.0991859436,1574.2118072509766,101379.24892044067
2026-04-30T09:10:26.328Z,1089,680.625,-93263.57810974121,-21171.80644607544,109987.54323577881
2026-04-30T09:10:26.328Z,1090,681.25,-79131.12861633301,-43461.76418304443,119051.90612411499
2026-04-30T09:10:26.328Z,1091,681.875,-54342.35631942749,-67746.98667907715,117170.62326049805
2026-04-30T09:10:26.328Z,1092,682.5,-34796.26689910889,-83652.09718704224,113066.00610351562
2026-04-30T09:10:26.328Z,1093,683.125,-12286.921939849854,-99158.15474319458,107194.12322616577
2026-04-30T09:10:26.328Z,1094,683.75,10051.465969085693,-110901.7130393982,94709.24604034424
2026-04-30T09:10:26.328Z,1095,684.375,33187.65344619751,-118711.74938201904,81540.26599502563
2026-04-30T09:10:26.328Z,1096,685.0,55640.01272201538,-122246.21838378906,61131.19735336304
2026-04-30T09:10:26.328Z,1097,685.625,75186.10214233398,-116830.49975204468,36617.51155471802
2026-04-30T09:10:26.328Z,1098,686.25,90173.33688735962,-112497.92484664917,17405.622917175293
2026-04-30T09:10:26.328Z,1099,686.875,103906.88659667969,-102578.60861587524,-6766.011451721191
2026-04-30T09:10:26.328Z,1100,687.5,112739.66753005981,-88212.70235061646,-28885.337242126465
2026-04-30T09:10:26.328Z,1101,688.125,118495.22155761719,-72478.6145362854,-51517.74017715454
2026-04-30T09:10:26.328Z,1102,688.75,116158.80853652954,-46882.2180557251,-73637.06596755981
2026-04-30T09:10:26.328Z,1103,689.375,110745.16860961914,-26644.532642364502,-89428.44030761719
2026-04-30T09:10:26.328Z,1104,690.0,103337.02976226807,-3841.506824493408,-105162.8060760498
2026-04-30T09:10:26.328Z,1105,690.625,89603.480052948,19873.64002609253,-114626.22896575928
2026-04-30T09:10:26.328Z,1106,691.25,75015.1450920105,41479.50698852539,-122379.39470672607
2026-04-30T09:10:26.328Z,1107,691.875,51195.129413604736,65878.74461364746,-122094.3518486023
2026-04-30T09:10:26.328Z,1108,692.5,30281.383590698242,81213.77947616577,-116963.58040237427
2026-04-30T09:10:26.328Z,1109,693.125,8170.938415527344,97574.95050048828,-111889.817527771
2026-04-30T09:10:26.328Z,1110,693.75,-14395.392227172852,108862.44828033447,-99119.89748382568
2026-04-30T09:10:26.328Z,1111,694.375,-36790.76581954956,116672.48462295532,-85551.85743713379
2026-04-30T09:10:26.328Z,1112,695.0,-59528.05351257324,120663.01414108276,-65142.78879547119
2026-04-30T09:10:26.328Z,1113,695.625,-79188.11429977417,114677.2198638916,-40629.10299682617
2026-04-30T09:10:26.328Z,1114,696.25,-94004.39199447632,110287.63739395142,-21360.20578765869
2026-04-30T09:10:26.328Z,1115,696.875,-107737.94170379639,100482.33629226685,2754.420009613037
2026-04-30T09:10:26.328Z,1116,697.5,-116627.70832061768,86344.46028518677,24531.694370269775
2026-04-30T09:10:26.328Z,1117,698.125,-122326.27666473389,70040.29682540894,47620.1658782959
2026-04-30T09:10:26.328Z,1118,698.75,-120103.83501052856,44500.90790939331,69853.50881195068
2026-04-30T09:10:26.328Z,1119,699.375,-114576.22371673584,25403.37378692627,84789.75457763672
2026-04-30T09:10:26.328Z,1120,700.0,-106940.14213562012,1745.2345008850098,101493.26606369019
2026-04-30T09:10:26.328Z,1121,700.625,-93320.56379318237,-21057.791316986084,110044.55180740356
2026-04-30T09:10:26.328Z,1122,701.25,-79131.12861633301,-43575.77931213379,118880.88040924072
2026-04-30T09:10:26.328Z,1123,701.875,-54399.34200286865,-67746.98667907715,117056.60611724854
2026-04-30T09:10:26.328Z,1124,702.5,-34682.29553222656,-83652.09718704224,113123.01467514038
2026-04-30T09:10:26.328Z,1125,703.125,-11774.050788879395,-99044.13961410522,107422.1575126648
2026-04-30T09:10:26.328Z,1126,703.75,10507.35143661499,-110844.70547485352,94994.28889846802
2026-04-30T09:10:26.328Z,1127,704.375,33244.63912963867,-118768.75694656372,81198.2145652771
2026-04-30T09:10:26.328Z,1128,705.0,55526.04135513306,-122417.2410774231,61017.180210113525
2026-04-30T09:10:26.328Z,1129,705.625,75471.0305595398,-116602.46949386597,36617.51155471802
2026-04-30T09:10:26.328Z,1130,706.25,90230.32257080078,-112269.89458847046,17348.614345550537
2026-04-30T09:10:26.328Z,1131,706.875,103963.87228012085,-102350.57835769653,-6537.977165222168
2026-04-30T09:10:26.328Z,1132,707.5,112910.6245803833,-88383.72504425049,-29056.362957000732
2026-04-30T09:10:26.328Z,1133,708.125,118438.23587417603,-72478.6145362854,-51688.76589202881
2026-04-30T09:10:26.328Z,1134,708.75,116101.82285308838,-46825.21049118042,-73523.0488243103
2026-04-30T09:10:26.328Z,1135,709.375,110745.16860961914,-26701.54020690918,-89485.44887924194
2026-04-30T09:10:26.328Z,1136,710.0,103394.01544570923,-3556.4690017700195,-105162.8060760498
2026-04-30T09:10:26.328Z,1137,710.625,89603.480052948,19873.64002609253,-114626.22896575928
2026-04-30T09:10:26.328Z,1138,711.25,74901.17372512817,41422.49942398071,-122493.41184997559
2026-04-30T09:10:26.328Z,1139,711.875,50967.18667984009,65992.75974273682,-122094.3518486023
2026-04-30T09:10:26.328Z,1140,712.5,30281.383590698242,81156.7719116211,-117134.60611724854
2026-04-30T09:10:26.328Z,1141,713.125,8170.938415527344,97688.96562957764,-111832.80895614624
2026-04-30T09:10:26.328Z,1142,713.75,-14509.363594055176,108748.43315124512,-99119.89748382568
2026-04-30T09:10:26.328Z,1143,714.375,-36733.7801361084,116615.47705841064,-85494.84886550903
2026-04-30T09:10:26.328Z,1144,715.0,-59414.08214569092,120663.01414108276,-65142.78879547119
2026-04-30T09:10:26.328Z,1145,715.625,-79302.0856666565,114791.23499298096,-40572.094425201416
2026-04-30T09:10:26.328Z,1146,716.25,-93947.40631103516,110401.65252304077,-21474.222930908203
2026-04-30T09:10:26.328Z,1147,716.875,-107851.91307067871,100539.34385681152,2811.428581237793
2026-04-30T09:10:26.328Z,1148,717.5,-116570.72263717651,86458.47541427612,24531.694370269775
2026-04-30T09:10:26.328Z,1149,718.125,-122326.27666473389,70154.31195449829,47905.20873641968
2026-04-30T09:10:26.328Z,1150,718.75,-119932.87796020508,44500.90790939331,69796.50024032593
2026-04-30T09:10:26.328Z,1151,719.375,-114519.23803329468,25232.351093292236,84789.75457763672
2026-04-30T09:10:26.328Z,1152,720.0,-107339.04191970825,1460.196678161621,101151.21463394165
2026-04-30T09:10:26.328Z,1153,720.625,-93434.5351600647,-21285.821575164795,109702.50037765503
2026-04-30T09:10:26.328Z,1154,721.25,-79131.12861633301,-43575.77931213379,118766.86326599121
2026-04-30T09:10:26.328Z,1155,721.875,-54228.384952545166,-67746.98667907715,117398.65754699707
2026-04-30T09:10:26.328Z,1156,722.5,-34283.39574813843,-83367.05936431885,113351.0489616394
2026-04-30T09:10:26.328Z,1157,723.125,-11945.00783920288,-99272.16987228394,107308.14036941528
2026-04-30T09:10:26.328Z,1158,723.75,10336.394386291504,-110844.70547485352,94709.24604034424
2026-04-30T09:10:26.328Z,1159,724.375,33130.66776275635,-118654.74181747437,81198.2145652771
2026-04-30T09:10:26.328Z,1160,725.0,55696.99840545654,-122246.21838378906,60960.17163848877
2026-04-30T09:10:26.328Z,1161,725.625,75300.07350921631,-116659.47705841064,36845.54584121704
2026-04-30T09:10:26.328Z,1162,726.25,90116.35120391846,-112440.91728210449,17120.580059051514
2026-04-30T09:10:26.328Z,1163,726.875,103792.91522979736,-102521.60105133057,-6937.037166595459
2026-04-30T09:10:26.328Z,1164,727.5,112796.65321350098,-88269.70991516113,-28999.354385375977
2026-04-30T09:10:26.328Z,1165,728.125,118438.23587417603,-72478.6145362854,-51631.75732040405
2026-04-30T09:10:26.328Z,1166,728.75,116272.77990341187,-46768.20292663574,-73580.05739593506
2026-04-30T09:10:26.328Z,1167,729.375,110745.16860961914,-26758.547771453857,-89485.44887924194
2026-04-30T09:10:26.328Z,1168,730.0,103451.00112915039,-3499.461437225342,-105276.82321929932
